Fund,Bank Name ,City ,State ,Location,Latitude,Longitude,QBFASSET
10507,The National Republic Bank of Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,187819
10506,NBRS Financial,Rising Sun,MD,"Rising Sun, MD",39.6980597,-76.0628964,94823
10505,"GreenChoice Bank, fsb",Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,221082
10504,Eastside Commercial Bank,Conyers,GA,"Conyers, GA",33.6676103,-84.0176904,750724
10503,The Freedom State Bank,Freedom,OK,"Freedom, OK",36.7692966,-99.1133631,252744
10501,Valley Bank,Fort Lauderdale,FL,"Fort Lauderdale, FL",26.1223084,-80.1433786,578638
10502,Valley Bank,Moline,IL,"Moline, IL",41.5058344,-90.5136642,2188154
10500,Slavie Federal Savings Bank,Bel Air,MD,"Bel Air, MD",39.5355063,-76.3490396,51083
10499,Columbia Savings Bank,Cincinnati,OH,"Cincinnati, OH",39.1014537,-84.5124602,190418
10498,AztecAmerica Bank,Berwyn,IL,"Berwyn, IL",41.8505874,-87.7936685,849409
10497,Allendale County Bank,Fairfax,SC,"Fairfax, SC",32.9585379,-81.2372124,896864
10496,Vantage Point Bank,Horsham,PA,"Horsham, PA",40.1842455,-75.13905239078957,266482
10495,"Millennium Bank, National Association",Sterling,VA,"Sterling, VA",39.003809849999996,-77.40832792370676,83493
10494,Syringa Bank,Boise,ID,"Boise, ID",43.6166163,-116.200886,548570
10493,The Bank of Union,El Reno,OK,"El Reno, OK",35.532198,-97.9550578,985096
10492,DuPage National Bank,West Chicago,IL,"West Chicago, IL",41.8847507,-88.2039607,1280964
10491,"Texas Community Bank, National Association",The Woodlands,TX,"The Woodlands, TX",30.1734194,-95.504686,261947
10490,Bank of Jackson County,Graceville,FL,"Graceville, FL",30.96015375,-85.51052263287673,162460
10488,First National Bank also operating as The National Bank of El Paso,Edinburg,TX,"Edinburg, TX",26.3013982,-98.1624501,533114
10489,The Community's Bank,Bridgeport,CT,"Bridgeport, CT",41.1779095,-73.1867391,282338
10487,Sunrise Bank of Arizona,Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141,42125
10486,Community South Bank,Parsons,TN,"Parsons, TN",35.649791,-88.1267025,155353
10485,Bank of Wausau,Wausau,WI,"Wausau, WI",44.9596017,-89.6298239,26760
10484,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,"Fort Myers, FL",26.640628,-81.8723084,66336
10483,Mountain National Bank,Sevierville,TN,"Sevierville, TN",35.8681455,-83.561835,34370
10482,1st Commerce Bank,North Las Vegas,NV,"North Las Vegas, NV",36.2005843,-115.121584,30698512
10478,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,"Kenosha, WI",42.5846773,-87.8212263,12779371
10479,Central Arizona Bank,Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184,12947
10481,Sunrise Bank,Valdosta,GA,"Valdosta, GA",30.8327022,-83.2784851,9448
10480,Pisgah Community Bank,Asheville,NC,"Asheville, NC",35.6009498,-82.5540161,350488
