Fund,Bank Name ,City ,State ,Location
10121,"Irwin Union Bank, F.S.B.",Louisville,KY,"Louisville, KY"
10120,Irwin Union Bank and Trust Company,Columbus,IN,"Columbus, IN"
10119,Venture Bank,Lacey,WA,"Lacey, WA"
10118,Brickwell Community Bank,Woodbury,MN,"Woodbury, MN"
10117,"Corus Bank, N.A.",Chicago,IL,"Chicago, IL"
10114,First State Bank,Flagstaff,AZ,"Flagstaff, AZ"
10115,Platinum Community Bank,Rolling Meadows,IL,"Rolling Meadows, IL"
10116,Vantus Bank,Sioux City,IA,"Sioux City, IA"
10113,InBank,Oak Forest,IL,"Oak Forest, IL"
10112,First Bank of Kansas City,Kansas City,MO,"Kansas City, MO"
10110,Affinity Bank,Ventura,CA,"Ventura, CA"
10111,Mainstreet Bank,Forest Lake,MN,"Forest Lake, MN"
10109,Bradford Bank,Baltimore,MD,"Baltimore, MD"
10105,Guaranty Bank,Austin,TX,"Austin, TX"
10106,CapitalSouth Bank,Birmingham,AL,"Birmingham, AL"
10108,First Coweta Bank,Newnan,GA,"Newnan, GA"
10107,ebank,Atlanta,GA,"Atlanta, GA"
10100,Community Bank of Nevada,Las Vegas,NV,"Las Vegas, NV"
10101,Community Bank of Arizona,Phoenix,AZ,"Phoenix, AZ"
10102,"Union Bank, National Association",Gilbert,AZ,"Gilbert, AZ"
10103,Colonial Bank,Montgomery,AL,"Montgomery, AL"
10104,Dwelling House Savings and Loan Association,Pittsburgh,PA,"Pittsburgh, PA"
10092,Community First Bank,Prineville,OR,"Prineville, OR"
10099,Community National Bank of Sarasota County,Venice,FL,"Venice, FL"
10098,First State Bank,Sarasota,FL,"Sarasota, FL"
10094,Mutual Bank,Harvey,IL,"Harvey, IL"
10097,First BankAmericano,Elizabeth,NJ,"Elizabeth, NJ"
10096,Peoples Community Bank,West Chester,OH,"West Chester, OH"
10095,Integrity Bank,Jupiter,FL,"Jupiter, FL"
10093,First State Bank of Altus,Altus,OK,"Altus, OK"
10088,Security Bank of Jones County,Gray,GA,"Gray, GA"
10087,Security Bank of Houston County,Perry,GA,"Perry, GA"
10085,Security Bank of Bibb County,Macon,GA,"Macon, GA"
10090,Security Bank of North Metro,Woodstock,GA,"Woodstock, GA"
10089,Security Bank of North Fulton,Alpharetta,GA,"Alpharetta, GA"
10086,Security Bank of Gwinnett County,Suwanee,GA,"Suwanee, GA"
10091,Waterford Village Bank,Williamsville,NY,"Williamsville, NY"
10082,Temecula Valley Bank,Temecula,CA,"Temecula, CA"
10083,Vineyard Bank,Rancho Cucamonga,CA,"Rancho Cucamonga, CA"
10081,BankFirst,Sioux Falls,SD,"Sioux Falls, SD"
10084,First Piedmont Bank,Winder,GA,"Winder, GA"
10080,Bank of Wyoming,Thermopolis,WY,"Thermopolis, WY"
10074,Founders Bank,Worth,IL,"Worth, IL"
10079,Millennium State Bank of Texas,Dallas,TX,"Dallas, TX"
10078,First National Bank of Danville,Danville,IL,"Danville, IL"
10073,The Elizabeth State Bank,Elizabeth,IL,"Elizabeth, IL"
10075,Rock River Bank,Oregon,IL,"Oregon, IL"
10077,First State Bank of Winchester,Winchester,IL,"Winchester, IL"
10076,John Warner Bank,Clinton,IL,"Clinton, IL"
10072,Mirae Bank,Los Angeles,CA,"Los Angeles, CA"
10071,MetroPacific Bank,Irvine,CA,"Irvine, CA"
10070,Horizon Bank,Pine City,MN,"Pine City, MN"
10069,Neighborhood Community Bank,Newnan,GA,"Newnan, GA"
10068,Community Bank of West Georgia,Villa Rica,GA,"Villa Rica, GA"
10066,First National Bank of Anthony,Anthony,KS,"Anthony, KS"
10065,Cooperative Bank,Wilmington,NC,"Wilmington, NC"
10067,Southern Community Bank,Fayetteville,GA,"Fayetteville, GA"
10064,Bank of Lincolnwood,Lincolnwood,IL,"Lincolnwood, IL"
10063,Citizens National Bank,Macomb,IL,"Macomb, IL"
10062,Strategic Capital Bank,Champaign,IL,"Champaign, IL"
10061,"BankUnited, FSB",Coral Gables,FL,"Coral Gables, FL"
10060,Westsound Bank,Bremerton,WA,"Bremerton, WA"
10057,America West Bank,Layton,UT,"Layton, UT"
10058,Citizens Community Bank,Ridgewood,NJ,"Ridgewood, NJ"
10059,"Silverton Bank, NA",Atlanta,GA,"Atlanta, GA"
10055,First Bank of Idaho,Ketchum,ID,"Ketchum, ID"
10054,First Bank of Beverly Hills,Calabasas,CA,"Calabasas, CA"
10056,Michigan Heritage Bank,Farmington Hills,MI,"Farmington Hills, MI"
10053,American Southern Bank,Kennesaw,GA,"Kennesaw, GA"
10051,Great Basin Bank of Nevada,Elko,NV,"Elko, NV"
10052,American Sterling Bank,Sugar Creek,MO,"Sugar Creek, MO"
10050,New Frontier Bank,Greeley,CO,"Greeley, CO"
10049,Cape Fear Bank,Wilmington,NC,"Wilmington, NC"
10048,Omni National Bank,Atlanta,GA,"Atlanta, GA"
10046,"TeamBank, NA",Paola,KS,"Paola, KS"
10045,Colorado National Bank,Colorado Springs,CO,"Colorado Springs, CO"
10047,FirstCity Bank,Stockbridge,GA,"Stockbridge, GA"
10044,Freedom Bank of Georgia,Commerce,GA,"Commerce, GA"
10043,Security Savings Bank,Henderson,NV,"Henderson, NV"
10042,Heritage Community Bank,Glenwood,IL,"Glenwood, IL"
10041,Silver Falls Bank,Silverton,OR,"Silverton, OR"
10040,Pinnacle Bank of Oregon,Beaverton,OR,"Beaverton, OR"
10037,Corn Belt Bank & Trust Co.,Pittsfield,IL,"Pittsfield, IL"
10038,Riverside Bank of the Gulf Coast,Cape Coral,FL,"Cape Coral, FL"
10039,Sherman County Bank,Loup City,NE,"Loup City, NE"
10034,County Bank,Merced,CA,"Merced, CA"
10035,Alliance Bank,Culver City,CA,"Culver City, CA"
10036,FirstBank Financial Services,McDonough,GA,"McDonough, GA"
10032,Ocala National Bank,Ocala,FL,"Ocala, FL"
10033,Suburban FSB,Crofton,MD,"Crofton, MD"
10031,MagnetBank,Salt Lake City,UT,"Salt Lake City, UT"
10030,1st Centennial Bank,Redlands,CA,"Redlands, CA"
10029,Bank of Clark County,Vancouver,WA,"Vancouver, WA"
10028,National Bank of Commerce,Berkeley,IL,"Berkeley, IL"
10026,Sanderson State Bank,Sanderson,TX,"Sanderson, TX"
10027,Haven Trust Bank,Duluth,GA,"Duluth, GA"
10025,First Georgia Community Bank,Jackson,GA,"Jackson, GA"
10024,PFF Bank & Trust,Pomona,CA,"Pomona, CA"
10023,Downey Savings & Loan,Newport Beach,CA,"Newport Beach, CA"
10022,Community Bank,Loganville,GA,"Loganville, GA"
10020,Security Pacific Bank,Los Angeles,CA,"Los Angeles, CA"
10021,"Franklin Bank, SSB",Houston,TX,"Houston, TX"
10019,Freedom Bank,Bradenton,FL,"Bradenton, FL"
10018,Alpha Bank & Trust,Alpharetta,GA,"Alpharetta, GA"
10017,Meridian Bank,Eldred,IL,"Eldred, IL"
10016,Main Street Bank,Northville,MI,"Northville, MI"
10015,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,"Henderson, NV"
10014,Ameribank,Northfork,WV,"Northfork, WV"
10013,Silver State Bank,Henderson,NV,"Henderson, NV"
10012,Integrity Bank,Alpharetta,GA,"Alpharetta, GA"
10011,Columbian Bank & Trust,Topeka,KS,"Topeka, KS"
10010,First Priority Bank,Bradenton,FL,"Bradenton, FL"
10009,"First Heritage Bank, NA",Newport Beach,CA,"Newport Beach, CA"
10008,First National Bank of Nevada,Reno,NV,"Reno, NV"
10007,IndyMac Bank,Pasadena,CA,"Pasadena, CA"
10006,"First Integrity Bank, NA",Staples,MN,"Staples, MN"
10005,"ANB Financial, NA",Bentonville,AR,"Bentonville, AR"
10004,Hume Bank,Hume,MO,"Hume, MO"
10003,Douglass National Bank,Kansas City,MO,"Kansas City, MO"
10002,Miami Valley Bank,Lakeview,OH,"Lakeview, OH"
10001,NetBank,Alpharetta,GA,"Alpharetta, GA"
10000,Metropolitan Savings Bank,Pittsburgh,PA,"Pittsburgh, PA"
4665,Bank of Ephraim,Ephraim,UT,"Ephraim, UT"
4664,Reliance Bank,White Plains,NY,"White Plains, NY"
4663,Guaranty National Bank of Tallahassee,Tallahassee,FL,"Tallahassee, FL"
6006,Dollar Savings Bank,Newark,NJ,"Newark, NJ"
4662,Pulaski Savings Bank,Philadelphia,PA,"Philadelphia, PA"
4661,First National Bank of Blanchardville,Blanchardville,WI,"Blanchardville, WI"
4660,Southern Pacific Bank,Torrance,CA,"Torrance, CA"
4659,Farmers Bank of Cheneyville,Cheneyville,LA,"Cheneyville, LA"
4658,Bank of Alamo,Alamo,TN,"Alamo, TN"
4657,AmTrade International Bank,Atlanta,GA,"Atlanta, GA"
6005,Universal Federal Savings Bank,Chicago,IL,"Chicago, IL"
4656,Connecticut Bank of Commerce,Stamford,CT,"Stamford, CT"
4655,New Century Bank,Shelby Township,MI,"Shelby Township, MI"
4654,Net 1st National Bank,Boca Raton,FL,"Boca Raton, FL"
4653,"NextBank, NA",Phoenix,AZ,"Phoenix, AZ"
4652,Oakwood Deposit Bank Co.,Oakwood,OH,"Oakwood, OH"
4651,Bank of Sierra Blanca,Sierra Blanca,TX,"Sierra Blanca, TX"
4650,"Hamilton Bank, NA",Miami,FL,"Miami, FL"
4649,Sinclair National Bank,Gravette,AR,"Gravette, AR"
6004,"Superior Bank, FSB",Hinsdale,IL,"Hinsdale, IL"
4648,Malta National Bank,Malta,OH,"Malta, OH"
4647,First Alliance Bank & Trust Co.,Manchester,NH,"Manchester, NH"
4646,National State Bank of Metropolis,Metropolis,IL,"Metropolis, IL"
4645,Bank of Honolulu,Honolulu,HI,"Honolulu, HI"
