Fund,Bank Name ,City ,State ,Location
10446,Security Exchange Bank,Marietta,GA,"Marietta, GA"
10445,Putnam State Bank,Palatka,FL,"Palatka, FL"
10444,Waccamaw Bank,Whiteville,NC,"Whiteville, NC"
10442,Farmers' and Traders' State Bank,Shabbona,IL,"Shabbona, IL"
10441,Carolina Federal Savings Bank,Charleston,SC,"Charleston, SC"
10443,First Capital Bank,Kingfisher,OK,"Kingfisher, OK"
10440,"Alabama Trust Bank, National Association",Sylacauga,AL,"Sylacauga, AL"
10439,"Security Bank, National Association",North Lauderdale,FL,"North Lauderdale, FL"
10437,Palm Desert National Bank,Palm Desert,CA,"Palm Desert, CA"
10438,Plantation Federal Bank,Pawleys Island,SC,"Pawleys Island, SC"
10436,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,"Maple Grove, MN"
10435,HarVest Bank of Maryland,Gaithersburg,MD,"Gaithersburg, MD"
10434,Bank of the Eastern Shore,Cambridge,MD,"Cambridge, MD"
10433,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,"Fort Lee, NJ"
10432,Fidelity Bank,Dearborn,MI,"Dearborn, MI"
10431,Premier Bank,Wilmette,IL,"Wilmette, IL"
10430,Covenant Bank & Trust,Rock Spring,GA,"Rock Spring, GA"
10429,New City Bank,Chicago,IL,"Chicago, IL"
10428,Global Commerce Bank,Doraville,GA,"Doraville, GA"
10427,Home Savings of America,Little Falls,MN,"Little Falls, MN"
10426,Central Bank of Georgia,Ellaville,GA,"Ellaville, GA"
10425,SCB Bank,Shelbyville,IN,"Shelbyville, IN"
10424,Charter National Bank and Trust,Hoffman Estates,IL,"Hoffman Estates, IL"
10420,BankEast,Knoxville,TN,"Knoxville, TN"
10422,Patriot Bank Minnesota,Forest Lake,MN,"Forest Lake, MN"
10423,Tennessee Commerce Bank,Franklin,TN,"Franklin, TN"
10421,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,"Jacksonville, FL"
10417,American Eagle Savings Bank,Boothwyn,PA,"Boothwyn, PA"
10419,The First State Bank,Stockbridge,GA,"Stockbridge, GA"
10418,Central Florida State Bank,Belleview,FL,"Belleview, FL"
10416,Western National Bank,Phoenix,AZ,"Phoenix, AZ"
10415,Premier Community Bank of the Emerald Coast,Crestview,FL,"Crestview, FL"
10413,Central Progressive Bank,Lacombe,LA,"Lacombe, LA"
10414,Polk County Bank,Johnston,IA,"Johnston, IA"
10412,Community Bank of Rockmart,Rockmart,GA,"Rockmart, GA"
10411,SunFirst Bank,Saint George,UT,"Saint George, UT"
10410,"Mid City Bank, Inc.",Omaha,NE,"Omaha, NE"
10409,All American Bank,Des Plaines,IL,"Des Plaines, IL"
10405,Community Banks of Colorado,Greenwood Village,CO,"Greenwood Village, CO"
10406,Community Capital Bank,Jonesboro,GA,"Jonesboro, GA"
10407,Decatur First Bank,Decatur,GA,"Decatur, GA"
10408,Old Harbor Bank,Clearwater,FL,"Clearwater, FL"
10402,Country Bank,Aledo,IL,"Aledo, IL"
10403,First State Bank,Cranford,NJ,"Cranford, NJ"
10401,"Blue Ridge Savings Bank, Inc.",Asheville,NC,"Asheville, NC"
10404,Piedmont Community Bank,Gray,GA,"Gray, GA"
10400,Sun Security Bank,Ellington,MO,"Ellington, MO"
10399,The RiverBank,Wyoming,MN,"Wyoming, MN"
10398,First International Bank,Plano,TX,"Plano, TX"
10397,Citizens Bank of Northern California,Nevada City,CA,"Nevada City, CA"
10396,Bank of the Commonwealth,Norfolk,VA,"Norfolk, VA"
10395,The First National Bank of Florida,Milton,FL,"Milton, FL"
10393,CreekSide Bank,Woodstock,GA,"Woodstock, GA"
10394,Patriot Bank of Georgia,Cumming,GA,"Cumming, GA"
10390,First Choice Bank,Geneva,IL,"Geneva, IL"
10391,First Southern National Bank,Statesboro,GA,"Statesboro, GA"
10392,Lydian Private Bank,Palm Beach,FL,"Palm Beach, FL"
10389,Public Savings Bank,Huntingdon Valley,PA,"Huntingdon Valley, PA"
10388,The First National Bank of Olathe,Olathe,KS,"Olathe, KS"
10387,Bank of Whitman,Colfax,WA,"Colfax, WA"
10386,Bank of Shorewood,Shorewood,IL,"Shorewood, IL"
10384,Integra Bank National Association,Evansville,IN,"Evansville, IN"
10383,"BankMeridian, N.A.",Columbia,SC,"Columbia, SC"
10385,Virginia Business Bank,Richmond,VA,"Richmond, VA"
10380,Bank of Choice,Greeley,CO,"Greeley, CO"
10381,LandMark Bank of Florida,Sarasota,FL,"Sarasota, FL"
10382,Southshore Community Bank,Apollo Beach,FL,"Apollo Beach, FL"
10379,Summit Bank,Prescott,AZ,"Prescott, AZ"
10376,First Peoples Bank,Port St. Lucie,FL,"Port St. Lucie, FL"
10377,High Trust Bank,Stockbridge,GA,"Stockbridge, GA"
10378,One Georgia Bank,Atlanta,GA,"Atlanta, GA"
10375,Signature Bank,Windsor,CO,"Windsor, CO"
10373,Colorado Capital Bank,Castle Rock,CO,"Castle Rock, CO"
10374,First Chicago Bank & Trust,Chicago,IL,"Chicago, IL"
10372,Mountain Heritage Bank,Clayton,GA,"Clayton, GA"
10370,First Commercial Bank of Tampa Bay,Tampa,FL,"Tampa, FL"
10371,McIntosh State Bank,Jackson,GA,"Jackson, GA"
10369,Atlantic Bank and Trust,Charleston,SC,"Charleston, SC"
10368,First Heritage Bank,Snohomish,WA,"Snohomish, WA"
10367,Summit Bank,Burlington,WA,"Burlington, WA"
10366,First Georgia Banking Company,Franklin,GA,"Franklin, GA"
10365,Atlantic Southern Bank,Macon,GA,"Macon, GA"
10364,Coastal Bank,Cocoa Beach,FL,"Cocoa Beach, FL"
10359,Community Central Bank,Mount Clemens,MI,"Mount Clemens, MI"
10363,The Park Avenue Bank,Valdosta,GA,"Valdosta, GA"
10361,First Choice Community Bank,Dallas,GA,"Dallas, GA"
10360,Cortez Community Bank,Brooksville,FL,"Brooksville, FL"
10362,First National Bank of Central Florida,Winter Park,FL,"Winter Park, FL"
10354,Heritage Banking Group,Carthage,MS,"Carthage, MS"
10357,Rosemount National Bank,Rosemount,MN,"Rosemount, MN"
10358,Superior Bank,Birmingham,AL,"Birmingham, AL"
10356,Nexity Bank,Birmingham,AL,"Birmingham, AL"
10355,New Horizons Bank,East Ellijay,GA,"East Ellijay, GA"
10353,Bartow County Bank,Cartersville,GA,"Cartersville, GA"
10351,Nevada Commerce Bank,Las Vegas,NV,"Las Vegas, NV"
10352,Western Springs National Bank and Trust,Western Springs,IL,"Western Springs, IL"
10350,The Bank of Commerce,Wood Dale,IL,"Wood Dale, IL"
10348,Legacy Bank,Milwaukee,WI,"Milwaukee, WI"
10349,First National Bank of Davis,Davis,OK,"Davis, OK"
10347,Valley Community Bank,St. Charles,IL,"St. Charles, IL"
10346,"San Luis Trust Bank, FSB",San Luis Obispo,CA,"San Luis Obispo, CA"
10343,Charter Oak Bank,Napa,CA,"Napa, CA"
10344,Citizens Bank of Effingham,Springfield,GA,"Springfield, GA"
10345,Habersham Bank,Clarkesville,GA,"Clarkesville, GA"
10340,Canyon National Bank,Palm Springs,CA,"Palm Springs, CA"
10339,Badger State Bank,Cassville,WI,"Cassville, WI"
10341,Peoples State Bank,Hamtramck,MI,"Hamtramck, MI"
10342,Sunshine State Community Bank,Port Orange,FL,"Port Orange, FL"
10337,Community First Bank Chicago,Chicago,IL,"Chicago, IL"
10338,North Georgia Bank,Watkinsville,GA,"Watkinsville, GA"
10336,American Trust Bank,Roswell,GA,"Roswell, GA"
10333,First Community Bank,Taos,NM,"Taos, NM"
10334,FirsTier Bank,Louisville,CO,"Louisville, CO"
10332,Evergreen State Bank,Stoughton,WI,"Stoughton, WI"
10335,The First State Bank,Camargo,OK,"Camargo, OK"
10331,United Western Bank,Denver,CO,"Denver, CO"
10330,The Bank of Asheville,Asheville,NC,"Asheville, NC"
10328,CommunitySouth Bank & Trust,Easley,SC,"Easley, SC"
10329,Enterprise Banking Company,McDonough,GA,"McDonough, GA"
10327,Oglethorpe Bank,Brunswick,GA,"Brunswick, GA"
10326,Legacy Bank,Scottsdale,AZ,"Scottsdale, AZ"
10325,First Commercial Bank of Florida,Orlando,FL,"Orlando, FL"
10321,Community National Bank,Lino Lakes,MN,"Lino Lakes, MN"
10322,First Southern Bank,Batesville,AR,"Batesville, AR"
10323,"United Americas Bank, N.A.",Atlanta,GA,"Atlanta, GA"
10319,"Appalachian Community Bank, FSB",McCaysville,GA,"McCaysville, GA"
10320,Chestatee State Bank,Dawsonville,GA,"Dawsonville, GA"
10324,"The Bank of Miami,N.A.",Coral Gables,FL,"Coral Gables, FL"
10317,Earthstar Bank,Southampton,PA,"Southampton, PA"
10318,Paramount Bank,Farmington Hills,MI,"Farmington Hills, MI"
10315,First Banking Center,Burlington,WI,"Burlington, WI"
10314,Allegiance Bank of North America,Bala Cynwyd,PA,"Bala Cynwyd, PA"
10316,Gulf State Community Bank,Carrabelle,FL,"Carrabelle, FL"
10311,Copper Star Bank,Scottsdale,AZ,"Scottsdale, AZ"
10312,Darby Bank & Trust Co.,Vidalia,GA,"Vidalia, GA"
10313,Tifton Banking Company,Tifton,GA,"Tifton, GA"
10307,First Vietnamese American Bank,Westminster,CA,"Westminster, CA"
10309,Pierce Commercial Bank,Tacoma,WA,"Tacoma, WA"
10310,Western Commercial Bank,Woodland Hills,CA,"Woodland Hills, CA"
10308,K Bank,Randallstown,MD,"Randallstown, MD"
10306,"First Arizona Savings, A FSB",Scottsdale,AZ,"Scottsdale, AZ"
10302,Hillcrest Bank,Overland Park,KS,"Overland Park, KS"
10301,First Suburban National Bank,Maywood,IL,"Maywood, IL"
10304,The First National Bank of Barnesville,Barnesville,GA,"Barnesville, GA"
10305,The Gordon Bank,Gordon,GA,"Gordon, GA"
10303,Progress Bank of Florida,Tampa,FL,"Tampa, FL"
10300,First Bank of Jacksonville,Jacksonville,FL,"Jacksonville, FL"
10297,Premier Bank,Jefferson City,MO,"Jefferson City, MO"
10299,WestBridge Bank and Trust Company,Chesterfield,MO,"Chesterfield, MO"
10298,"Security Savings Bank, F.S.B.",Olathe,KS,"Olathe, KS"
10295,Shoreline Bank,Shoreline,WA,"Shoreline, WA"
10296,Wakulla Bank,Crawfordville,FL,"Crawfordville, FL"
10294,North County Bank,Arlington,WA,"Arlington, WA"
10293,Haven Trust Bank Florida,Ponte Vedra Beach,FL,"Ponte Vedra Beach, FL"
10291,Maritime Savings Bank,West Allis,WI,"West Allis, WI"
10288,Bramble Savings Bank,Milford,OH,"Milford, OH"
10292,The Peoples Bank,Winder,GA,"Winder, GA"
10289,First Commerce Community Bank,Douglasville,GA,"Douglasville, GA"
10287,Bank of Ellijay,Ellijay,GA,"Ellijay, GA"
10290,ISN Bank,Cherry Hill,NJ,"Cherry Hill, NJ"
10286,Horizon Bank,Bradenton,FL,"Bradenton, FL"
10285,Sonoma Valley Bank,Sonoma,CA,"Sonoma, CA"
10282,Los Padres Bank,Solvang,CA,"Solvang, CA"
10278,Butte Community Bank,Chico,CA,"Chico, CA"
10283,Pacific State Bank,Stockton,CA,"Stockton, CA"
10284,ShoreBank,Chicago,IL,"Chicago, IL"
10280,Imperial Savings and Loan Association,Martinsville,VA,"Martinsville, VA"
10281,Independent National Bank,Ocala,FL,"Ocala, FL"
10279,Community National Bank at Bartow,Bartow,FL,"Bartow, FL"
10277,Palos Bank and Trust Company,Palos Heights,IL,"Palos Heights, IL"
10276,Ravenswood Bank,Chicago,IL,"Chicago, IL"
10273,LibertyBank,Eugene,OR,"Eugene, OR"
10275,The Cowlitz Bank,Longview,WA,"Longview, WA"
10272,Coastal Community Bank,Panama City Beach,FL,"Panama City Beach, FL"
10271,Bayside Savings Bank,Port Saint Joe,FL,"Port Saint Joe, FL"
10274,Northwest Bank & Trust,Acworth,GA,"Acworth, GA"
10266,Home Valley Bank,Cave Junction,OR,"Cave Junction, OR"
10267,SouthwestUSA Bank,Las Vegas,NV,"Las Vegas, NV"
10264,Community Security Bank,New Prague,MN,"New Prague, MN"
10269,Thunder Bank,Sylvan Grove,KS,"Sylvan Grove, KS"
10270,Williamsburg First National Bank,Kingstree,SC,"Kingstree, SC"
10265,Crescent Bank and Trust Company,Jasper,GA,"Jasper, GA"
10268,Sterling Bank,Lantana,FL,"Lantana, FL"
10258,"Mainstreet Savings Bank, FSB",Hastings,MI,"Hastings, MI"
10260,Olde Cypress Community Bank,Clewiston,FL,"Clewiston, FL"
10261,Turnberry Bank,Aventura,FL,"Aventura, FL"
10259,Metro Bank of Dade County,Miami,FL,"Miami, FL"
10263,First National Bank of the South,Spartanburg,SC,"Spartanburg, SC"
10262,Woodlands Bank,Bluffton,SC,"Bluffton, SC"
10256,Home National Bank,Blackwell,OK,"Blackwell, OK"
10254,USA Bank,Port Chester,NY,"Port Chester, NY"
10257,Ideal Federal Savings Bank,Baltimore,MD,"Baltimore, MD"
10255,Bay National Bank,Baltimore,MD,"Baltimore, MD"
10252,High Desert State Bank,Albuquerque,NM,"Albuquerque, NM"
10251,First National Bank,Savannah,GA,"Savannah, GA"
10253,Peninsula Bank,Englewood,FL,"Englewood, FL"
10250,Nevada Security Bank,Reno,NV,"Reno, NV"
10249,Washington First International Bank,Seattle,WA,"Seattle, WA"
10248,TierOne Bank,Lincoln,NE,"Lincoln, NE"
10246,Arcola Homestead Savings Bank,Arcola,IL,"Arcola, IL"
10247,First National Bank,Rosedale,MS,"Rosedale, MS"
10245,Sun West Bank,Las Vegas,NV,"Las Vegas, NV"
10244,"Granite Community Bank, NA",Granite Bay,CA,"Granite Bay, CA"
10243,Bank of Florida - Tampa,Tampa,FL,"Tampa, FL"
10242,Bank of Florida - Southwest,Naples,FL,"Naples, FL"
10241,Bank of Florida - Southeast,Fort Lauderdale,FL,"Fort Lauderdale, FL"
10240,Pinehurst Bank,Saint Paul,MN,"Saint Paul, MN"
10236,Midwest Bank and Trust Company,Elmwood Park,IL,"Elmwood Park, IL"
10239,Southwest Community Bank,Springfield,MO,"Springfield, MO"
10237,New Liberty Bank,Plymouth,MI,"Plymouth, MI"
10238,Satilla Community Bank,Saint Marys,GA,"Saint Marys, GA"
10232,1st Pacific Bank of California,San Diego,CA,"San Diego, CA"
10235,Towne Bank of Arizona,Mesa,AZ,"Mesa, AZ"
10233,Access Bank,Champlin,MN,"Champlin, MN"
10234,The Bank of Bonifay,Bonifay,FL,"Bonifay, FL"
10228,Frontier Bank,Everett,WA,"Everett, WA"
10225,BC National Banks,Butler,MO,"Butler, MO"
10227,Champion Bank,Creve Coeur,MO,"Creve Coeur, MO"
10226,CF Bancorp,Port Huron,MI,"Port Huron, MI"
10231,Westernbank Puerto Rico,Mayaguez,PR,"Mayaguez, PR"
10230,R-G Premier Bank of Puerto Rico,Hato Rey,PR,"Hato Rey, PR"
10229,Eurobank,San Juan,PR,"San Juan, PR"
10224,Wheatland Bank,Naperville,IL,"Naperville, IL"
10223,Peotone Bank and Trust Company,Peotone,IL,"Peotone, IL"
10221,Lincoln Park Savings Bank,Chicago,IL,"Chicago, IL"
10222,New Century Bank,Chicago,IL,"Chicago, IL"
10220,Citizens Bank and Trust Company of Chicago,Chicago,IL,"Chicago, IL"
10219,Broadway Bank,Chicago,IL,"Chicago, IL"
10218,"Amcore Bank, National Association",Rockford,IL,"Rockford, IL"
10212,City Bank,Lynnwood,WA,"Lynnwood, WA"
10217,Tamalpais Bank,San Rafael,CA,"San Rafael, CA"
10214,Innovative Bank,Oakland,CA,"Oakland, CA"
10211,Butler Bank,Lowell,MA,"Lowell, MA"
10216,Riverside National Bank of Florida,Fort Pierce,FL,"Fort Pierce, FL"
10210,AmericanFirst Bank,Clermont,FL,"Clermont, FL"
10213,First Federal Bank of North Florida,Palatka,FL,"Palatka, FL"
10215,Lakeside Community Bank,Sterling Heights,MI,"Sterling Heights, MI"
10209,Beach First National Bank,Myrtle Beach,SC,"Myrtle Beach, SC"
10205,Desert Hills Bank,Phoenix,AZ,"Phoenix, AZ"
10208,Unity National Bank,Cartersville,GA,"Cartersville, GA"
10206,Key West Bank,Key West,FL,"Key West, FL"
10207,McIntosh Commercial Bank,Carrollton,GA,"Carrollton, GA"
10203,State Bank of Aurora,Aurora,MN,"Aurora, MN"
10204,First Lowndes Bank,Fort Deposit,AL,"Fort Deposit, AL"
10202,Bank of Hiawassee,Hiawassee,GA,"Hiawassee, GA"
10199,Appalachian Community Bank,Ellijay,GA,"Ellijay, GA"
10200,Advanta Bank Corp.,Draper,UT,"Draper, UT"
10198,Century Security Bank,Duluth,GA,"Duluth, GA"
10201,American National Bank,Parma,OH,"Parma, OH"
10196,Statewide Bank,Covington,LA,"Covington, LA"
10197,Old Southern Bank,Orlando,FL,"Orlando, FL"
10195,The Park Avenue Bank,New York,NY,"New York, NY"
10194,LibertyPointe Bank,New York,NY,"New York, NY"
10193,Centennial Bank,Ogden,UT,"Ogden, UT"
10190,Waterfield Bank,Germantown,MD,"Germantown, MD"
10191,Bank of Illinois,Normal,IL,"Normal, IL"
10192,Sun American Bank,Boca Raton,FL,"Boca Raton, FL"
10189,Rainier Pacific Bank,Tacoma,WA,"Tacoma, WA"
10188,Carson River Community Bank,Carson City,NV,"Carson City, NV"
10185,"La Jolla Bank, FSB",La Jolla,CA,"La Jolla, CA"
10184,George Washington Savings Bank,Orland Park,IL,"Orland Park, IL"
10186,The La Coste National Bank,La Coste,TX,"La Coste, TX"
10187,Marco Community Bank,Marco Island,FL,"Marco Island, FL"
10183,1st American State Bank of Minnesota,Hancock,MN,"Hancock, MN"
10178,American Marine Bank,Bainbridge Island,WA,"Bainbridge Island, WA"
10177,First Regional Bank,Los Angeles,CA,"Los Angeles, CA"
10180,Community Bank and Trust,Cornelia,GA,"Cornelia, GA"
10182,"Marshall Bank, N.A.",Hallock,MN,"Hallock, MN"
10181,Florida Community Bank,Immokalee,FL,"Immokalee, FL"
10179,First National Bank of Georgia,Carrollton,GA,"Carrollton, GA"
10176,Columbia River Bank,The Dalles,OR,"The Dalles, OR"
10172,Evergreen Bank,Seattle,WA,"Seattle, WA"
10175,Charter Bank,Santa Fe,NM,"Santa Fe, NM"
10174,Bank of Leeton,Leeton,MO,"Leeton, MO"
10173,Premier American Bank,Miami,FL,"Miami, FL"
10171,Barnes Banking Company,Kaysville,UT,"Kaysville, UT"
10169,St. Stephen State Bank,St. Stephen,MN,"St. Stephen, MN"
10170,Town Community Bank & Trust,Antioch,IL,"Antioch, IL"
10168,Horizon Bank,Bellingham,WA,"Bellingham, WA"
10167,"First Federal Bank of California, F.S.B.",Santa Monica,CA,"Santa Monica, CA"
10161,Imperial Capital Bank,La Jolla,CA,"La Jolla, CA"
10166,Independent Bankers' Bank,Springfield,IL,"Springfield, IL"
10163,New South Federal Savings Bank,Irondale,AL,"Irondale, AL"
10162,Citizens State Bank,New Baltimore,MI,"New Baltimore, MI"
10165,Peoples First Community Bank,Panama City,FL,"Panama City, FL"
10164,RockBridge Commercial Bank,Atlanta,GA,"Atlanta, GA"
10160,SolutionsBank,Overland Park,KS,"Overland Park, KS"
10159,"Valley Capital Bank, N.A.",Mesa,AZ,"Mesa, AZ"
10158,"Republic Federal Bank, N.A.",Miami,FL,"Miami, FL"
10156,Greater Atlantic Bank,Reston,VA,"Reston, VA"
10154,Benchmark Bank,Aurora,IL,"Aurora, IL"
10155,AmTrust Bank,Cleveland,OH,"Cleveland, OH"
10153,The Tattnall Bank,Reidsville,GA,"Reidsville, GA"
10157,First Security National Bank,Norcross,GA,"Norcross, GA"
10152,The Buckhead Community Bank,Atlanta,GA,"Atlanta, GA"
10151,Commerce Bank of Southwest Florida,Fort Myers,FL,"Fort Myers, FL"
10150,Pacific Coast National Bank,San Clemente,CA,"San Clemente, CA"
10149,Orion Bank,Naples,FL,"Naples, FL"
10148,"Century Bank, F.S.B.",Sarasota,FL,"Sarasota, FL"
10147,United Commercial Bank,San Francisco,CA,"San Francisco, CA"
10146,Gateway Bank of St. Louis,St. Louis,MO,"St. Louis, MO"
10143,Prosperan Bank,Oakdale,MN,"Oakdale, MN"
