fund,receivership,faildate,total_assets,total_liabilities,administrative_liabilities,fdic_subrogated_deposit_claim,uninsured_deposit_claims,other_claimant_liabilities,unproven_claims,net_worth_deficit
10025,FIRST GEORGIA COMMUNITY BANK,12/5/2008,2197.0,89993.0,0.0,88595.0,0.0,1398.0,0.0,-87796.0
10251,FIRST NATIONAL BANK,6/25/2010,1152.0,80353.0,49.0,79349.0,0.0,955.0,0.0,-79201.0
10488,FIRST NATIONAL BANK,9/13/2013,1156.0,623950.0,41.0,617366.0,0.0,6543.0,0.0,-622794.0
10008,FIRST NATIONAL BANK OF NEVADA,7/25/2008,7200.0,732196.0,26.0,717921.0,0.0,14249.0,0.0,-724996.0
10526,FIRST NBC BANK,4/28/2017,28673.0,824006.0,1339.0,812004.0,0.0,10663.0,0.0,-795333.0
10036,FIRSTBANK FINANCIAL SERVICES,2/6/2009,1296.0,153215.0,0.0,152663.0,0.0,552.0,0.0,-151919.0
10047,FIRSTCITY BANK,3/20/2009,3065.0,138965.0,0.0,138411.0,1.0,553.0,0.0,-135900.0
10334,FIRSTIER BANK,1/28/2011,6071.0,241320.0,10.0,240028.0,6.0,1205.0,71.0,-235249.0
10433,FORT LEE FEDERAL SAVINGS BANK,4/20/2012,2219.0,14380.0,0.0,14202.0,0.0,178.0,0.0,-12161.0
10021,"FRANKLIN BANK, SSB",11/7/2008,25680.0,663848.0,1.0,640828.0,0.0,23019.0,0.0,-638168.0
10019,FREEDOM BANK,10/31/2008,2324.0,116479.0,-4.0,115818.0,0.0,665.0,0.0,-114155.0
10428,GLOBAL COMMERCE BANK,3/2/2012,1081.0,41663.0,0.0,41411.0,0.0,252.0,0.0,-40582.0
10105,GUARANTY BANK,8/21/2009,99832.0,5677.0,5677.0,0.0,0.0,0.0,0.0,94155.0
10462,GULFSOUTH PRIVATE BANK,10/19/2012,1233.0,41806.0,0.0,41645.0,0.0,161.0,0.0,-40573.0
10027,HAVEN TRUST BANK,12/12/2008,2329.0,249946.0,0.0,249021.0,0.0,925.0,0.0,-247617.0
10465,HERITAGE BANK OF FLORIDA,11/2/2012,1107.0,75282.0,0.0,74982.0,0.0,300.0,0.0,-74175.0
10427,HOME SAVINGS OF AMERICA,2/24/2012,1536.0,48923.0,77.0,44530.0,125.0,4165.0,26.0,-47387.0
10257,IDEAL FEDERAL SAVINGS BANK,7/9/2010,1804.0,5828.0,0.0,5418.0,396.0,14.0,0.0,-4024.0
10161,IMPERIAL CAPITAL BANK,12/18/2009,14079.0,297814.0,5302.0,284260.0,0.0,8252.0,0.0,-283735.0
10166,INDEPENDENT BANKERS' BANK,12/18/2009,1907.0,6.0,6.0,0.0,0.0,0.0,0.0,1901.0
10007,INDYMAC FEDERAL BANK FSB,7/11/2008,99444.0,12221996.0,5370.0,12097654.0,94350.0,24554.0,68.0,-12122552.0
10384,"INTEGRA BANK, NA",7/29/2011,8443.0,97118.0,5308.0,37459.0,0.0,54351.0,0.0,-88675.0
10095,INTEGRITY BANK,7/31/2009,1068.0,37815.0,0.0,37603.0,0.0,212.0,0.0,-36747.0
10120,IRWIN UNION BANK & TRUST CO.,9/18/2009,1859.0,772751.0,10.0,757883.0,0.0,14858.0,0.0,-770892.0
10121,"IRWIN UNION, FSB",9/18/2009,0.0,115735.0,0.0,114006.0,0.0,1729.0,0.0,-115735.0
10308,K BANK,11/5/2010,1065.0,138820.0,2.0,137508.0,0.0,1310.0,0.0,-137755.0
10215,LAKESIDE COMMUNITY BANK,4/16/2010,1149.0,22218.0,0.0,22152.0,0.0,66.0,0.0,-21069.0
10273,LIBERTY BANK,7/30/2010,1602.0,54794.0,0.0,52905.0,0.0,1889.0,0.0,-53192.0
10221,LINCOLN PARK SAVINGS BANK,4/23/2010,3230.0,41940.0,0.0,41502.0,0.0,438.0,0.0,-38710.0
10282,LOS PADRES BANK,8/20/2010,0.0,5146.0,0.0,3434.0,0.0,1712.0,0.0,-5146.0
10392,LYDIAN PRIVATE BANK,8/19/2011,8086.0,220428.0,5312.0,194551.0,0.0,20565.0,0.0,-212342.0
10031,MAGNETBANK,1/30/2009,2433.0,173626.0,0.0,172577.0,2.0,1047.0,0.0,-171193.0
10291,MARITIME SAVINGS BANK,9/17/2010,1020.0,91275.0,0.0,89418.0,0.0,1857.0,0.0,-90255.0
10056,MICHIGAN HERITAGE BANK,4/24/2009,1648.0,50680.0,0.0,50279.0,0.0,401.0,0.0,-49032.0
10448,MONTGOMERY BANK & TRUST,7/6/2012,4683.0,71084.0,1.0,70716.0,0.0,367.0,0.0,-66401.0
10507,NATIONAL REPUBLIC BK - CHICAGO,10/24/2014,93.0,74582.0,130.0,57658.0,0.0,16794.0,0.0,-74489.0
10429,NEW CITY BANK,3/9/2012,4603.0,18685.0,32.0,18629.0,1.0,23.0,0.0,-14082.0
10050,NEW FRONTIER BANK,4/10/2009,2007.0,920789.0,1.0,915507.0,2247.0,3034.0,0.0,-918782.0
10163,NEW SOUTH FEDERAL SAVINGS BANK,12/18/2009,1424.0,317134.0,0.0,313085.0,0.0,4049.0,0.0,-315710.0
10463,NOVA BANK,10/26/2012,1073.0,89910.0,153.0,87078.0,1442.0,892.0,345.0,-88837.0
10032,OCALA NATIONAL BANK,1/30/2009,2296.0,96636.0,0.0,95982.0,0.0,654.0,0.0,-94340.0
10048,OMNI NATIONAL BANK,3/27/2009,2951.0,301179.0,29.0,294726.0,219.0,6205.0,0.0,-298228.0
10378,ONE GEORGIA BANK,7/15/2011,4645.0,45733.0,0.0,45379.0,0.0,354.0,0.0,-41088.0
10139,PACIFIC NATIONAL BANK,10/30/2009,5644.0,85050.0,5332.0,66559.0,0.0,13159.0,0.0,-79406.0
10140,PARK NATIONAL BANK,10/30/2009,13834.0,393574.0,5314.0,19960.0,0.0,368300.0,0.0,-379740.0
10115,PLATINUM COMMUNITY BANK,9/4/2009,6223.0,427.0,427.0,0.0,0.0,0.0,0.0,5796.0
10297,PREMIER BANK,10/15/2010,1264.0,311669.0,1.0,310083.0,0.0,1585.0,0.0,-310405.0
10431,PREMIER BANK,3/23/2012,2548.0,72504.0,0.0,72035.0,0.0,469.0,0.0,-69956.0
10525,PROFICIO BANK,3/3/2017,3054.0,13071.0,47.0,12787.0,0.0,191.0,46.0,-10017.0
10230,R-G PREMIER BK OF PUERTO RICO,4/30/2010,14438.0,1011344.0,5307.0,996442.0,0.0,9595.0,0.0,-996906.0
10276,RAVENSWOOD BANK,8/6/2010,5365.0,74284.0,0.0,73717.0,0.0,567.0,0.0,-68919.0
10038,RIVERSIDE BK OF THE GULF COAST,2/13/2009,2104.0,203274.0,0.0,201952.0,0.0,1322.0,0.0,-201170.0
10216,RIVERSIDE NATL BANK OF FLORIDA,4/16/2010,4417.0,18.0,18.0,0.0,0.0,0.0,0.0,4399.0
10164,ROCKBRIDGE COMMERCIAL BANK,12/18/2009,1305.0,101194.0,9.0,100272.0,41.0,872.0,0.0,-99889.0
10135,SAN DIEGO NATIONAL BANK,10/30/2009,5261.0,64144.0,5471.0,43759.0,0.0,14914.0,0.0,-58883.0
10425,SCB BANK,2/10/2012,1010.0,39627.0,0.0,39306.0,0.0,321.0,0.0,-38617.0
10524,SEAWAY BANK AND TRUST,1/27/2017,1573.0,47051.0,0.0,45406.0,0.0,1645.0,0.0,-45478.0
10020,SECURITY PACIFIC BANK,11/7/2008,2634.0,152293.0,0.0,150926.0,0.0,1367.0,0.0,-149659.0
10043,SECURITY SAVINGS BANK,2/27/2009,3701.0,36378.0,-3.0,36061.0,0.0,320.0,0.0,-32677.0
10041,SILVER FALLS BANK,2/20/2009,1611.0,41211.0,1.0,40967.0,0.0,243.0,0.0,-39600.0
10013,SILVER STATE BANK,9/5/2008,4996.0,738754.0,227.0,727134.0,3696.0,7697.0,0.0,-733758.0
10059,"SILVERTON BANK, NA",5/1/2009,14185.0,693221.0,5376.0,656515.0,0.0,31330.0,0.0,-679036.0
10481,SUNRISE BANK,5/10/2013,1032.0,17213.0,0.0,17094.0,0.0,119.0,0.0,-16181.0
10358,SUPERIOR BANK,4/15/2011,9347.0,350354.0,5318.0,293391.0,0.0,51645.0,0.0,-341007.0
10217,TAMALPAIS BANK,4/16/2010,3426.0,735.0,735.0,0.0,0.0,0.0,0.0,2691.0
10234,THE BANK OF BONIFAY,5/7/2010,1179.0,67549.0,0.0,67097.0,0.0,452.0,0.0,-66370.0
10324,"THE BANK OF MIAMI, NA",12/17/2010,1392.0,31214.0,15.0,30076.0,0.0,1123.0,0.0,-29822.0
10011,THE COLUMBIAN BANK & TRUST CO,8/22/2008,3165.0,367042.0,439.0,336893.0,17251.0,12459.0,0.0,-363877.0
10022,THE COMMUNITY BANK,11/21/2008,3041.0,339815.0,0.0,338145.0,0.0,1670.0,0.0,-336774.0
10275,THE COWLITZ BANK,7/30/2010,1503.0,34609.0,11.0,33426.0,0.0,1172.0,0.0,-33106.0
10536,THE FIRST STATE BANK,4/3/2020,2871.0,47267.0,33.0,46388.0,0.0,846.0,0.0,-44396.0
10195,THE PARK AVENUE BANK,3/12/2010,1617.0,81377.0,0.0,78002.0,0.0,3375.0,0.0,-79760.0
10363,THE PARK AVENUE BANK,4/29/2011,2518.0,236446.0,0.0,214675.0,0.0,21771.0,0.0,-233928.0
10102,"UNION BANK, NA",8/14/2009,1186.0,53630.0,0.0,53220.0,0.0,410.0,0.0,-52444.0
10147,UNITED COMMERCIAL BANK,11/6/2009,12510.0,744639.0,5305.0,593237.0,0.0,146097.0,0.0,-732129.0
10331,UNITED WESTERN BANK,1/21/2011,8367.0,153819.0,5302.0,144334.0,0.0,4183.0,0.0,-145452.0
10296,WAKULLA BANK,10/1/2010,1010.0,121427.0,0.0,120969.0,0.0,458.0,0.0,-120417.0
10125,WARREN BANK,10/2/2009,2169.0,221073.0,0.0,219900.0,0.0,1173.0,0.0,-218904.0
10530,WASHINGTON FED BNK FOR SAVINGS,12/15/2017,2932.0,83045.0,35.0,81535.0,1388.0,87.0,0.0,-80113.0
10015,WASHINGTON MUTUAL BANK,9/25/2008,152049.0,14809674.0,1003.0,0.0,0.0,14808671.0,0.0,-14657625.0
10231,WESTERNBANK PUERTO RICO,4/30/2010,14336.0,2222165.0,5302.0,2191090.0,0.0,25773.0,0.0,-2207829.0
10060,WESTSOUND BANK,5/8/2009,1292.0,82910.0,0.0,82406.0,0.0,504.0,0.0,-81618.0
10224,WHEATLAND BANK,4/23/2010,1009.0,191552.0,0.0,190710.0,0.0,842.0,0.0,-190543.0
